substantiated,mos_age_incident,Officer_Female,Officer_Male,Officer_American Indian,Officer_Asian,Officer_Black,Officer_Hispanic,Officer_White,Captain,Deputy Inspector,Detective,Inspector,Lieutenant,Police Officer,Sergeant,processing_days,Abuse of Authority,Discourtesy,Force,Offensive Language,complainant_age_incident,complainant_Female,complainant_Gender non-conforming,complainant_Male,complainant_Not described,complainant_Transman (FTM),complainant_Transwoman (MTF),complainant_American Indian,complainant_Asian,complainant_Black,complainant_Hispanic,complainant_Other Race,complainant_Refused,complainant_Unknown,complainant_White
1,32,0,1,0,0,0,1,0,0,0,0,0,0,1,0,305,1,0,0,0,38.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,24,0,1,0,0,0,0,1,0,0,0,0,0,1,0,274,0,1,0,0,26.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,24,0,1,0,0,0,0,1,0,0,0,0,0,1,0,274,0,0,0,1,26.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,25,0,1,0,0,0,0,1,0,0,0,0,0,1,0,427,1,0,0,0,45.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,50,1,0,0,0,1,0,0,0,0,0,0,0,0,1,153,1,0,0,0,31.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,43,0,1,0,0,0,0,1,0,0,0,0,0,1,0,92,0,0,0,1,34.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,35,0,1,0,1,0,0,0,0,0,0,0,0,1,0,153,1,0,0,0,39.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,35,0,1,0,0,0,0,1,0,0,0,0,0,1,0,214,1,0,0,0,30.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,27,0,1,0,0,0,0,1,0,0,0,0,0,1,0,487,0,0,1,0,42.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,29,0,1,0,0,0,0,1,0,0,0,0,0,1,0,122,1,0,0,0,29.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,29,0,1,0,0,0,0,1,0,0,0,0,0,1,0,122,1,0,0,0,29.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,29,0,1,0,0,0,0,1,0,0,0,0,0,1,0,122,1,0,0,0,29.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,29,0,1,0,0,0,0,1,0,0,0,0,0,1,0,122,1,0,0,0,29.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,29,0,1,0,0,0,0,1,0,0,0,0,0,1,0,122,1,0,0,0,29.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,29,0,1,0,0,0,0,1,0,0,0,0,0,1,0,122,1,0,0,0,29.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,30,0,1,0,0,0,0,1,0,0,0,0,0,1,0,153,1,0,0,0,30.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,33,0,1,0,0,0,0,1,0,0,0,0,0,0,1,243,1,0,0,0,28.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,33,0,1,0,0,0,0,1,0,0,0,0,0,0,1,274,1,0,0,0,60.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,29,0,1,0,0,1,0,0,0,0,0,0,0,1,0,487,1,0,0,0,22.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,29,0,1,0,0,1,0,0,0,0,0,0,0,1,0,487,1,0,0,0,26.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,29,0,1,0,0,1,0,0,0,0,0,0,0,1,0,487,0,1,0,0,22.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
